frame,person_id,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf
77,0,439,279,0.9921482801437378,430,278,0.8925898671150208,436,325,0.991837203502655,431,324,0.9629680514335632
78,0,439,279,0.9915144443511963,430,278,0.8959882855415344,436,325,0.9913882613182068,431,324,0.9634672999382019
79,0,439,278,0.9919281005859375,430,278,0.9041140675544739,436,325,0.9909006357192993,431,324,0.9624090194702148
80,0,439,279,0.9922806620597839,430,278,0.9020880460739136,436,325,0.9912599921226501,431,324,0.9623280763626099
81,0,439,279,0.9924429059028625,431,278,0.9000459909439087,436,325,0.9914122819900513,431,324,0.9619809985160828
82,0,439,279,0.9921141862869263,431,278,0.8924590349197388,436,325,0.9916841983795166,431,324,0.9623480439186096
83,0,439,279,0.9925425052642822,431,278,0.8845627903938293,436,325,0.9919790029525757,432,324,0.9606512188911438
84,0,439,279,0.9931299090385437,431,279,0.8924996852874756,436,326,0.9922875165939331,432,325,0.9620569944381714
85,0,439,279,0.9932143688201904,430,278,0.9086669683456421,436,325,0.9925529360771179,431,325,0.966806173324585
86,0,439,278,0.9935316443443298,430,278,0.9187830686569214,436,325,0.993354082107544,430,325,0.9716566205024719
87,0,439,278,0.9934797286987305,429,278,0.9281044602394104,436,325,0.994081437587738,430,324,0.9767041206359863
88,0,439,278,0.9936674237251282,429,279,0.9288435578346252,436,325,0.9937792420387268,429,324,0.9752196073532104
89,0,440,278,0.9934210181236267,428,279,0.9379599094390869,436,324,0.9941628575325012,429,324,0.979158878326416
90,0,440,278,0.9931707382202148,428,278,0.9355226755142212,436,325,0.9941964149475098,429,324,0.9792571067810059
91,0,440,278,0.9929519295692444,428,279,0.9387755393981934,436,325,0.9942975640296936,429,324,0.9806646108627319
92,0,440,278,0.9923924207687378,429,279,0.9391940832138062,436,324,0.9943956136703491,430,324,0.9818735122680664
93,0,439,278,0.9926382303237915,429,279,0.9364010095596313,436,325,0.9942025542259216,430,324,0.9803488850593567
94,0,439,278,0.9919530749320984,429,279,0.9342087507247925,436,324,0.9939275979995728,430,324,0.980008602142334
95,0,439,279,0.9914814233779907,429,279,0.9190353155136108,435,325,0.9937001466751099,430,324,0.9772359728813171
96,0,439,279,0.9918879866600037,429,279,0.9134129285812378,434,325,0.994168758392334,429,324,0.9773412346839905
97,0,437,280,0.9920889139175415,431,280,0.8819975256919861,432,327,0.9927709698677063,429,326,0.965243399143219
98,0,435,280,0.9905827045440674,433,280,0.8471895456314087,431,328,0.9918172955513,431,328,0.9579091668128967
99,0,434,279,0.9947473406791687,436,279,0.8673259019851685,432,328,0.9958997368812561,435,327,0.9722824692726135
100,0,433,278,0.9878096580505371,437,278,0.8175565600395203,432,325,0.992613673210144,436,324,0.9625256061553955
101,0,430,278,0.9798740744590759,438,278,0.8166488409042358,432,323,0.9910451173782349,439,323,0.9658887982368469
102,0,427,281,0.9907311797142029,443,279,0.8779025077819824,430,326,0.9972027540206909,441,325,0.986811101436615
103,0,425,282,0.9924490451812744,443,279,0.9126867651939392,428,327,0.9977490305900574,441,326,0.9904435276985168
104,0,423,282,0.9915816187858582,444,279,0.9300935864448547,426,328,0.9980820417404175,441,326,0.9933717250823975
105,0,419,283,0.9898796081542969,444,280,0.9488765001296997,424,328,0.9980613589286804,441,327,0.9949842691421509
106,0,417,284,0.9906358122825623,443,282,0.9670014381408691,422,328,0.9977365732192993,440,328,0.9950036406517029
107,0,416,283,0.991402804851532,443,281,0.9801346659660339,421,328,0.9982101917266846,439,327,0.9969404935836792
108,0,414,283,0.9918287396430969,442,281,0.9838913083076477,420,327,0.9986032843589783,439,327,0.9978162050247192
109,0,414,282,0.9921712875366211,442,281,0.9884597063064575,419,326,0.9988699555397034,438,325,0.9986417889595032
110,0,413,282,0.9930221438407898,441,281,0.9892289638519287,419,327,0.99907386302948,437,326,0.9987519979476929
111,0,413,282,0.9920527935028076,441,281,0.9911240339279175,419,327,0.9989790916442871,437,327,0.9988681077957153
112,0,414,281,0.99222731590271,441,280,0.9913568496704102,419,327,0.9990647435188293,437,327,0.9989665746688843
113,0,414,281,0.9925006031990051,441,281,0.991203784942627,419,327,0.9989718198776245,437,327,0.9988154172897339
114,0,414,280,0.9923964142799377,441,281,0.9912137389183044,419,326,0.9987567663192749,437,327,0.998591959476471
115,0,414,280,0.9912604689598083,441,281,0.9911474585533142,419,326,0.998556911945343,437,327,0.9984831213951111
116,0,414,280,0.9909549355506897,442,281,0.9910030364990234,419,326,0.9985896944999695,437,326,0.9985237717628479
117,0,414,280,0.9904678463935852,442,281,0.990829348564148,419,326,0.9984488487243652,437,326,0.9984021782875061
118,0,414,280,0.9900049567222595,442,281,0.9901776909828186,419,325,0.9983586668968201,437,326,0.9982921481132507
119,0,414,280,0.9889150261878967,442,281,0.9884799122810364,418,326,0.9980977177619934,437,327,0.9979619979858398
120,0,414,280,0.9877637028694153,442,281,0.987525463104248,418,326,0.997911274433136,437,326,0.9977874755859375
121,0,414,280,0.9887908697128296,442,280,0.9877782464027405,419,326,0.9979683756828308,438,326,0.9977737069129944
122,0,415,280,0.98908931016922,443,280,0.9881730675697327,419,326,0.9980118274688721,438,326,0.9978392720222473
123,0,415,281,0.988511323928833,443,280,0.9872746467590332,419,326,0.997852087020874,438,327,0.9976369142532349
124,0,415,281,0.9878512024879456,443,281,0.9868632555007935,419,326,0.9977816939353943,438,327,0.9975966811180115
125,0,415,281,0.9866118431091309,443,281,0.9873419404029846,419,326,0.9976226687431335,438,326,0.9976293444633484
126,0,415,281,0.9862188696861267,443,281,0.9867907166481018,420,326,0.9975857734680176,438,326,0.9975861310958862
127,0,415,281,0.9855940937995911,443,281,0.9869563579559326,419,327,0.9976881742477417,438,327,0.9977474808692932
128,0,416,281,0.9879865050315857,443,281,0.9875397682189941,420,327,0.9978808164596558,439,327,0.9977572560310364
129,0,416,281,0.9895293116569519,444,281,0.9876428842544556,421,327,0.9981251358985901,439,327,0.9978504180908203
130,0,416,281,0.9897747039794922,444,281,0.9883301258087158,421,326,0.9981752634048462,439,327,0.9979439377784729
131,0,417,281,0.9899460673332214,444,281,0.9888343214988708,421,326,0.9983252882957458,439,327,0.9981168508529663
132,0,417,282,0.9897611737251282,444,282,0.9885177612304688,422,327,0.9981726408004761,439,327,0.9979428648948669
133,0,417,282,0.9887089133262634,443,282,0.9889665246009827,422,327,0.997779905796051,439,328,0.9976533055305481
134,0,417,282,0.9864394664764404,443,283,0.9925676584243774,423,327,0.9977662563323975,440,328,0.9984544515609741
135,0,418,282,0.9804256558418274,442,283,0.9914210438728333,424,327,0.997040331363678,439,328,0.998204231262207
136,0,419,282,0.9721774458885193,440,283,0.9945887327194214,425,327,0.9943589568138123,438,328,0.9978799819946289
137,0,419,282,0.9578343629837036,439,282,0.9941591024398804,425,328,0.9910761117935181,438,328,0.9972801208496094
138,0,420,282,0.943692684173584,438,283,0.9950317144393921,426,327,0.9831264615058899,437,328,0.9961116909980774
139,0,420,280,0.9276764392852783,437,281,0.9953005313873291,426,327,0.9760255813598633,436,327,0.9954572916030884
140,0,422,280,0.920194685459137,436,281,0.9950379729270935,427,326,0.9718584418296814,436,327,0.9948267340660095
